Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1N5jL5wC7Dd1FLLPFrwgk3,cdff2a158d024562972b978b5b6dc2a3,2024-07-13T05:12:10Z,1,Yeahhh this is a pretty fun transformation.,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:3zdfDmwjwJLquyiMbbx44z,cdff2a158d024562972b978b5b6dc2a3,2024-07-13T05:12:10Z,1,Very cool deep cut-I dig it.,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:4ljz5s6Rt6WmEmUcg3Ie95,cdff2a158d024562972b978b5b6dc2a3,2024-07-13T05:12:10Z,2,"Truly transformative, and Nick Cave is a badass as is this version.",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:516daakwmX9S2aRifLUCp8,cdff2a158d024562972b978b5b6dc2a3,2024-07-13T05:12:10Z,4,"This cover rules, as does Jai Paul-big big props!",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5FzBxhIsZBFXDTVGWtV4IQ,cdff2a158d024562972b978b5b6dc2a3,2024-07-13T05:12:10Z,2,Was tempted to pick this myself-love to see Devo on here!,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:1N5jL5wC7Dd1FLLPFrwgk3,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,1,"This song doesn’t exactly slay me…but it’s a nice enough groove, dead on the prompt, and at only 15,000 Spotify listens this is as fresh as fresh gets. Deserves some love.",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:28cnXtME493VX9NOw9cIUh,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,1,"Absolutely killer cover. Just a bit well worn to me, hence only the 1.",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:2roh7fKqKBoWaH5kHUXtWX,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,2,The Oh Oh Ohs do it for me here,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:341zzm98KLs7O1GGjErHzO,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,2,Radiohead’s never sounded so gosh darn fun,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:3pRaLNL3b8x5uBOcsgvdqM,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,1,"Perhaps the ultimate transformative cover. Having heard it hundreds of times by subway buskers, though, has sapped it of most of its transformative power for me 😆",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:4ljz5s6Rt6WmEmUcg3Ie95,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,1,Not too shabby,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:516daakwmX9S2aRifLUCp8,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,2,Think I’ve got a little crush on this beat. If only they’d *finished* it (whatever that means) maybe it would’ve upped my ups all the more!,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5FzBxhIsZBFXDTVGWtV4IQ,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,0,On paper I’d love to support this song…but I honestly just can’t get any satisfaction from the clunky DEVO delivery here!,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5plT9JEaW0ygCv4lDzqDFj,e469fa0ebd0445ed8247f7b5b8291044,2024-07-13T14:08:34Z,0,Love Weird Al. Love the thought here. For some reason this particular song just isn’t scratching any of my itches.,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:4ljz5s6Rt6WmEmUcg3Ie95,36e60238d52c41078fb3eccd5e999727,2024-07-13T20:14:41Z,3,"Def transformed, def enjoyable",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5FzBxhIsZBFXDTVGWtV4IQ,36e60238d52c41078fb3eccd5e999727,2024-07-13T20:14:41Z,3,"Def transformed, def enjoyable",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:72PMRGgYB1mkY3TsUJZtyc,36e60238d52c41078fb3eccd5e999727,2024-07-13T20:14:41Z,4,"Def transformed, def enjoyable, def unexpected",51b49b6ebe964d649cac18e5c6438d1c
spotify:track:1N5jL5wC7Dd1FLLPFrwgk3,0d78be2302c640cb8e4932912c5d24e9,2024-07-13T23:52:04Z,4,Fuck yeah King tubby! ,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:2roh7fKqKBoWaH5kHUXtWX,0d78be2302c640cb8e4932912c5d24e9,2024-07-13T23:52:04Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:3zdfDmwjwJLquyiMbbx44z,0d78be2302c640cb8e4932912c5d24e9,2024-07-13T23:52:04Z,4,Hell yeah stax ,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:4ljz5s6Rt6WmEmUcg3Ie95,0d78be2302c640cb8e4932912c5d24e9,2024-07-13T23:52:04Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:2roh7fKqKBoWaH5kHUXtWX,f2d735cf08ef4f49b7bd726a93aa1f74,2024-07-15T18:40:08Z,3,This is my winner for the week.  ,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:3zdfDmwjwJLquyiMbbx44z,f2d735cf08ef4f49b7bd726a93aa1f74,2024-07-15T18:40:08Z,3,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:516daakwmX9S2aRifLUCp8,f2d735cf08ef4f49b7bd726a93aa1f74,2024-07-15T18:40:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5FzBxhIsZBFXDTVGWtV4IQ,f2d735cf08ef4f49b7bd726a93aa1f74,2024-07-15T18:40:08Z,2,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:72PMRGgYB1mkY3TsUJZtyc,f2d735cf08ef4f49b7bd726a93aa1f74,2024-07-15T18:40:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:28cnXtME493VX9NOw9cIUh,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,2,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:2roh7fKqKBoWaH5kHUXtWX,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:341zzm98KLs7O1GGjErHzO,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:3zdfDmwjwJLquyiMbbx44z,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:516daakwmX9S2aRifLUCp8,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,2,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5FzBxhIsZBFXDTVGWtV4IQ,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:5plT9JEaW0ygCv4lDzqDFj,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:72PMRGgYB1mkY3TsUJZtyc,c82db5a307e04d798e11205a5b574a89,2024-07-15T22:14:08Z,1,,51b49b6ebe964d649cac18e5c6438d1c
spotify:track:1LP2YT3pZefUk4wEmhOCPK,369cf25d52374062afb26a290596b716,2024-07-16T02:40:20Z,2,Didn’t know the original super well but after listening I like the take on it,51b49b6ebe964d649cac18e5c6438d1c
